names,len,tipo
tissue,1346,Tissue
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_bl,0,Tissue
plasma_re,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,228,Tissue
plasma_bl:plasma_po,0,Tissue
plasma_bl:plasma_re,0,Tissue
plasma_po:plasma_re,0,Tissue
plasma_po,0,Tissue
tissue:plasma_bl,82,Tissue
tissue:plasma_re,65,Tissue
tissue:plasma_po,30,Tissue
tissue:plasma_bl:plasma_re,29,Tissue
tissue:plasma_bl:plasma_po,24,Tissue
tissue:plasma_po:plasma_re,21,Tissue
tissue,0,Plasma-BL
plasma_bl:plasma_po:plasma_re,961,Plasma-BL
plasma_bl,389,Plasma-BL
plasma_re,0,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,228,Plasma-BL
plasma_bl:plasma_po,155,Plasma-BL
plasma_bl:plasma_re,153,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
plasma_po,0,Plasma-BL
tissue:plasma_bl,82,Plasma-BL
tissue:plasma_re,0,Plasma-BL
tissue:plasma_po,0,Plasma-BL
tissue:plasma_bl:plasma_re,29,Plasma-BL
tissue:plasma_bl:plasma_po,24,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue,0,Plasma-PO
plasma_bl:plasma_po:plasma_re,961,Plasma-PO
plasma_bl,0,Plasma-PO
plasma_re,0,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,228,Plasma-PO
plasma_bl:plasma_po,155,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
plasma_po:plasma_re,152,Plasma-PO
plasma_po,140,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_re,0,Plasma-PO
tissue:plasma_po,30,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_bl:plasma_po,24,Plasma-PO
tissue:plasma_po:plasma_re,21,Plasma-PO
tissue,0,Plasma-RE
plasma_bl:plasma_po:plasma_re,961,Plasma-RE
plasma_bl,0,Plasma-RE
plasma_re,369,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,228,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
plasma_bl:plasma_re,153,Plasma-RE
plasma_po:plasma_re,152,Plasma-RE
plasma_po,0,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_re,65,Plasma-RE
tissue:plasma_po,0,Plasma-RE
tissue:plasma_bl:plasma_re,29,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_po:plasma_re,21,Plasma-RE
