ID	CONCORDANCIA	PERC_PLASMA-BL	PERC_PLASMA
204	0.406321959389	0.35754657735	0.236131463261
207	0.326692325108	0.425401856464	0.247905818429
185	0.310540459839	0.213795162735	0.475664377426
107	0.269975786925	0.491283292978	0.238740920097
261	0.407051282051	0.292094017094	0.300854700855
243	0.336768989469	0.432220479498	0.231010531033
242	0.368975198877	0.404539073467	0.226485727656
8	0.189983212087	0.458589815333	0.35142697258
161	0.317805087168	0.182052014861	0.500142897971
85	0.342630217953	0.220354636129	0.437015145918
TOTAL	0.33280879348	0.348216173051	0.318975033469
