names,len,tipo
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_re,0,Tissue
tissue,325,Tissue
plasma_bl,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,226,Tissue
plasma_po:plasma_re,0,Tissue
tissue:plasma_re,120,Tissue
plasma_bl:plasma_re,0,Tissue
plasma_po,0,Tissue
plasma_bl:plasma_po,0,Tissue
tissue:plasma_bl,23,Tissue
tissue:plasma_bl:plasma_re,19,Tissue
tissue:plasma_po:plasma_re,17,Tissue
tissue:plasma_po,9,Tissue
tissue:plasma_bl:plasma_po,3,Tissue
plasma_bl:plasma_po:plasma_re,631,Plasma-BL
plasma_re,0,Plasma-BL
tissue,0,Plasma-BL
plasma_bl,323,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,226,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_re,0,Plasma-BL
plasma_bl:plasma_re,120,Plasma-BL
plasma_po,0,Plasma-BL
plasma_bl:plasma_po,102,Plasma-BL
tissue:plasma_bl,23,Plasma-BL
tissue:plasma_bl:plasma_re,19,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_po,0,Plasma-BL
tissue:plasma_bl:plasma_po,3,Plasma-BL
plasma_bl:plasma_po:plasma_re,631,Plasma-PO
plasma_re,0,Plasma-PO
tissue,0,Plasma-PO
plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,226,Plasma-PO
plasma_po:plasma_re,149,Plasma-PO
tissue:plasma_re,0,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
plasma_po,112,Plasma-PO
plasma_bl:plasma_po,102,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_po:plasma_re,17,Plasma-PO
tissue:plasma_po,9,Plasma-PO
tissue:plasma_bl:plasma_po,3,Plasma-PO
plasma_bl:plasma_po:plasma_re,631,Plasma-RE
plasma_re,365,Plasma-RE
tissue,0,Plasma-RE
plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,226,Plasma-RE
plasma_po:plasma_re,149,Plasma-RE
tissue:plasma_re,120,Plasma-RE
plasma_bl:plasma_re,120,Plasma-RE
plasma_po,0,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_re,19,Plasma-RE
tissue:plasma_po:plasma_re,17,Plasma-RE
tissue:plasma_po,0,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
