names,len,tipo
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_re,0,Tissue
plasma_bl,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,274,Tissue
tissue,272,Tissue
plasma_bl:plasma_re,0,Tissue
plasma_bl:plasma_po,0,Tissue
plasma_po:plasma_re,0,Tissue
plasma_po,0,Tissue
tissue:plasma_re,94,Tissue
tissue:plasma_bl,31,Tissue
tissue:plasma_bl:plasma_re,26,Tissue
tissue:plasma_po:plasma_re,11,Tissue
tissue:plasma_po,8,Tissue
tissue:plasma_bl:plasma_po,8,Tissue
plasma_bl:plasma_po:plasma_re,765,Plasma-BL
plasma_re,0,Plasma-BL
plasma_bl,452,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,274,Plasma-BL
tissue,0,Plasma-BL
plasma_bl:plasma_re,233,Plasma-BL
plasma_bl:plasma_po,149,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
plasma_po,0,Plasma-BL
tissue:plasma_re,0,Plasma-BL
tissue:plasma_bl,31,Plasma-BL
tissue:plasma_bl:plasma_re,26,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_po,0,Plasma-BL
tissue:plasma_bl:plasma_po,8,Plasma-BL
plasma_bl:plasma_po:plasma_re,765,Plasma-PO
plasma_re,0,Plasma-PO
plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,274,Plasma-PO
tissue,0,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
plasma_bl:plasma_po,149,Plasma-PO
plasma_po:plasma_re,119,Plasma-PO
plasma_po,115,Plasma-PO
tissue:plasma_re,0,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_po:plasma_re,11,Plasma-PO
tissue:plasma_po,8,Plasma-PO
tissue:plasma_bl:plasma_po,8,Plasma-PO
plasma_bl:plasma_po:plasma_re,765,Plasma-RE
plasma_re,495,Plasma-RE
plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,274,Plasma-RE
tissue,0,Plasma-RE
plasma_bl:plasma_re,233,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
plasma_po:plasma_re,119,Plasma-RE
plasma_po,0,Plasma-RE
tissue:plasma_re,94,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_re,26,Plasma-RE
tissue:plasma_po:plasma_re,11,Plasma-RE
tissue:plasma_po,0,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
