names,len,tipo
tissue,528,Tissue
plasma_bl,0,Tissue
plasma_re,0,Tissue
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_po,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,52,Tissue
plasma_bl:plasma_re,0,Tissue
plasma_bl:plasma_po,0,Tissue
plasma_po:plasma_re,0,Tissue
tissue:plasma_bl,14,Tissue
tissue:plasma_bl:plasma_re,11,Tissue
tissue:plasma_re,7,Tissue
tissue:plasma_po,7,Tissue
tissue:plasma_bl:plasma_po,5,Tissue
tissue:plasma_po:plasma_re,1,Tissue
tissue,0,Plasma-BL
plasma_bl,234,Plasma-BL
plasma_re,0,Plasma-BL
plasma_bl:plasma_po:plasma_re,100,Plasma-BL
plasma_po,0,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,52,Plasma-BL
plasma_bl:plasma_re,47,Plasma-BL
plasma_bl:plasma_po,38,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_bl,14,Plasma-BL
tissue:plasma_bl:plasma_re,11,Plasma-BL
tissue:plasma_re,0,Plasma-BL
tissue:plasma_po,0,Plasma-BL
tissue:plasma_bl:plasma_po,5,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue,0,Plasma-PO
plasma_bl,0,Plasma-PO
plasma_re,0,Plasma-PO
plasma_bl:plasma_po:plasma_re,100,Plasma-PO
plasma_po,87,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,52,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
plasma_bl:plasma_po,38,Plasma-PO
plasma_po:plasma_re,31,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_re,0,Plasma-PO
tissue:plasma_po,7,Plasma-PO
tissue:plasma_bl:plasma_po,5,Plasma-PO
tissue:plasma_po:plasma_re,1,Plasma-PO
tissue,0,Plasma-RE
plasma_bl,0,Plasma-RE
plasma_re,142,Plasma-RE
plasma_bl:plasma_po:plasma_re,100,Plasma-RE
plasma_po,0,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,52,Plasma-RE
plasma_bl:plasma_re,47,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
plasma_po:plasma_re,31,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_re,11,Plasma-RE
tissue:plasma_re,7,Plasma-RE
tissue:plasma_po,0,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_po:plasma_re,1,Plasma-RE
