names,len,tipo
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_re,0,Tissue
plasma_bl,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,325,Tissue
plasma_bl:plasma_po,0,Tissue
tissue:plasma_re,199,Tissue
plasma_po,0,Tissue
plasma_bl:plasma_re,0,Tissue
tissue,152,Tissue
plasma_po:plasma_re,0,Tissue
tissue:plasma_bl:plasma_re,20,Tissue
tissue:plasma_po:plasma_re,13,Tissue
tissue:plasma_bl,12,Tissue
tissue:plasma_bl:plasma_po,6,Tissue
tissue:plasma_po,3,Tissue
plasma_bl:plasma_po:plasma_re,926,Plasma-BL
plasma_re,0,Plasma-BL
plasma_bl,394,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,325,Plasma-BL
plasma_bl:plasma_po,216,Plasma-BL
tissue:plasma_re,0,Plasma-BL
plasma_po,0,Plasma-BL
plasma_bl:plasma_re,177,Plasma-BL
tissue,0,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_bl:plasma_re,20,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_bl,12,Plasma-BL
tissue:plasma_bl:plasma_po,6,Plasma-BL
tissue:plasma_po,0,Plasma-BL
plasma_bl:plasma_po:plasma_re,926,Plasma-PO
plasma_re,0,Plasma-PO
plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,325,Plasma-PO
plasma_bl:plasma_po,216,Plasma-PO
tissue:plasma_re,0,Plasma-PO
plasma_po,178,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
tissue,0,Plasma-PO
plasma_po:plasma_re,129,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_po:plasma_re,13,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_po,6,Plasma-PO
tissue:plasma_po,3,Plasma-PO
plasma_bl:plasma_po:plasma_re,926,Plasma-RE
plasma_re,498,Plasma-RE
plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,325,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_re,199,Plasma-RE
plasma_po,0,Plasma-RE
plasma_bl:plasma_re,177,Plasma-RE
tissue,0,Plasma-RE
plasma_po:plasma_re,129,Plasma-RE
tissue:plasma_bl:plasma_re,20,Plasma-RE
tissue:plasma_po:plasma_re,13,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_po,0,Plasma-RE
