names,len,tipo
tissue,1952,Tissue
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_re,0,Tissue
plasma_bl,0,Tissue
plasma_bl:plasma_re,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,243,Tissue
tissue:plasma_bl:plasma_re,148,Tissue
plasma_po:plasma_re,0,Tissue
plasma_po,0,Tissue
tissue:plasma_re,125,Tissue
plasma_bl:plasma_po,0,Tissue
tissue:plasma_bl,61,Tissue
tissue:plasma_po:plasma_re,35,Tissue
tissue:plasma_bl:plasma_po,29,Tissue
tissue:plasma_po,26,Tissue
tissue,0,Plasma-BL
plasma_bl:plasma_po:plasma_re,865,Plasma-BL
plasma_re,0,Plasma-BL
plasma_bl,295,Plasma-BL
plasma_bl:plasma_re,246,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,243,Plasma-BL
tissue:plasma_bl:plasma_re,148,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
plasma_po,0,Plasma-BL
tissue:plasma_re,0,Plasma-BL
plasma_bl:plasma_po,104,Plasma-BL
tissue:plasma_bl,61,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_bl:plasma_po,29,Plasma-BL
tissue:plasma_po,0,Plasma-BL
tissue,0,Plasma-PO
plasma_bl:plasma_po:plasma_re,865,Plasma-PO
plasma_re,0,Plasma-PO
plasma_bl,0,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,243,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
plasma_po:plasma_re,143,Plasma-PO
plasma_po,143,Plasma-PO
tissue:plasma_re,0,Plasma-PO
plasma_bl:plasma_po,104,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_po:plasma_re,35,Plasma-PO
tissue:plasma_bl:plasma_po,29,Plasma-PO
tissue:plasma_po,26,Plasma-PO
tissue,0,Plasma-RE
plasma_bl:plasma_po:plasma_re,865,Plasma-RE
plasma_re,552,Plasma-RE
plasma_bl,0,Plasma-RE
plasma_bl:plasma_re,246,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,243,Plasma-RE
tissue:plasma_bl:plasma_re,148,Plasma-RE
plasma_po:plasma_re,143,Plasma-RE
plasma_po,0,Plasma-RE
tissue:plasma_re,125,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_po:plasma_re,35,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_po,0,Plasma-RE
