names,len,tipo
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_re,0,Tissue
plasma_bl,0,Tissue
plasma_bl:plasma_re,0,Tissue
plasma_po,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,147,Tissue
plasma_po:plasma_re,0,Tissue
plasma_bl:plasma_po,0,Tissue
tissue:plasma_bl:plasma_re,101,Tissue
tissue,86,Tissue
tissue:plasma_re,43,Tissue
tissue:plasma_bl,22,Tissue
tissue:plasma_po:plasma_re,16,Tissue
tissue:plasma_po,10,Tissue
tissue:plasma_bl:plasma_po,3,Tissue
plasma_bl:plasma_po:plasma_re,651,Plasma-BL
plasma_re,0,Plasma-BL
plasma_bl,536,Plasma-BL
plasma_bl:plasma_re,403,Plasma-BL
plasma_po,0,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,147,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
plasma_bl:plasma_po,110,Plasma-BL
tissue:plasma_bl:plasma_re,101,Plasma-BL
tissue,0,Plasma-BL
tissue:plasma_re,0,Plasma-BL
tissue:plasma_bl,22,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_po,0,Plasma-BL
tissue:plasma_bl:plasma_po,3,Plasma-BL
plasma_bl:plasma_po:plasma_re,651,Plasma-PO
plasma_re,0,Plasma-PO
plasma_bl,0,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
plasma_po,219,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,147,Plasma-PO
plasma_po:plasma_re,145,Plasma-PO
plasma_bl:plasma_po,110,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
tissue,0,Plasma-PO
tissue:plasma_re,0,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_po:plasma_re,16,Plasma-PO
tissue:plasma_po,10,Plasma-PO
tissue:plasma_bl:plasma_po,3,Plasma-PO
plasma_bl:plasma_po:plasma_re,651,Plasma-RE
plasma_re,584,Plasma-RE
plasma_bl,0,Plasma-RE
plasma_bl:plasma_re,403,Plasma-RE
plasma_po,0,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,147,Plasma-RE
plasma_po:plasma_re,145,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_bl:plasma_re,101,Plasma-RE
tissue,0,Plasma-RE
tissue:plasma_re,43,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_po:plasma_re,16,Plasma-RE
tissue:plasma_po,0,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
