names,len,tipo
plasma_bl:plasma_po:plasma_re,0,Tissue
tissue,476,Tissue
plasma_re,0,Tissue
plasma_bl,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,195,Tissue
plasma_bl:plasma_re,0,Tissue
plasma_bl:plasma_po,0,Tissue
plasma_po,0,Tissue
plasma_po:plasma_re,0,Tissue
tissue:plasma_re,81,Tissue
tissue:plasma_bl:plasma_re,32,Tissue
tissue:plasma_bl,25,Tissue
tissue:plasma_bl:plasma_po,15,Tissue
tissue:plasma_po:plasma_re,11,Tissue
tissue:plasma_po,11,Tissue
plasma_bl:plasma_po:plasma_re,736,Plasma-BL
tissue,0,Plasma-BL
plasma_re,0,Plasma-BL
plasma_bl,418,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,195,Plasma-BL
plasma_bl:plasma_re,146,Plasma-BL
plasma_bl:plasma_po,146,Plasma-BL
plasma_po,0,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_re,0,Plasma-BL
tissue:plasma_bl:plasma_re,32,Plasma-BL
tissue:plasma_bl,25,Plasma-BL
tissue:plasma_bl:plasma_po,15,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_po,0,Plasma-BL
plasma_bl:plasma_po:plasma_re,736,Plasma-PO
tissue,0,Plasma-PO
plasma_re,0,Plasma-PO
plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,195,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
plasma_bl:plasma_po,146,Plasma-PO
plasma_po,117,Plasma-PO
plasma_po:plasma_re,89,Plasma-PO
tissue:plasma_re,0,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_po,15,Plasma-PO
tissue:plasma_po:plasma_re,11,Plasma-PO
tissue:plasma_po,11,Plasma-PO
plasma_bl:plasma_po:plasma_re,736,Plasma-RE
tissue,0,Plasma-RE
plasma_re,444,Plasma-RE
plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,195,Plasma-RE
plasma_bl:plasma_re,146,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
plasma_po,0,Plasma-RE
plasma_po:plasma_re,89,Plasma-RE
tissue:plasma_re,81,Plasma-RE
tissue:plasma_bl:plasma_re,32,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_po:plasma_re,11,Plasma-RE
tissue:plasma_po,0,Plasma-RE
