names,len,tipo
tissue,360,Tissue
plasma_re,0,Tissue
plasma_bl,0,Tissue
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_po,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,73,Tissue
plasma_bl:plasma_re,0,Tissue
plasma_po:plasma_re,0,Tissue
plasma_bl:plasma_po,0,Tissue
tissue:plasma_re,11,Tissue
tissue:plasma_bl:plasma_re,10,Tissue
tissue:plasma_bl,10,Tissue
tissue:plasma_po,4,Tissue
tissue:plasma_po:plasma_re,3,Tissue
tissue:plasma_bl:plasma_po,2,Tissue
tissue,0,Plasma-BL
plasma_re,0,Plasma-BL
plasma_bl,159,Plasma-BL
plasma_bl:plasma_po:plasma_re,141,Plasma-BL
plasma_po,0,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,73,Plasma-BL
plasma_bl:plasma_re,39,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
plasma_bl:plasma_po,21,Plasma-BL
tissue:plasma_re,0,Plasma-BL
tissue:plasma_bl:plasma_re,10,Plasma-BL
tissue:plasma_bl,10,Plasma-BL
tissue:plasma_po,0,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_bl:plasma_po,2,Plasma-BL
tissue,0,Plasma-PO
plasma_re,0,Plasma-PO
plasma_bl,0,Plasma-PO
plasma_bl:plasma_po:plasma_re,141,Plasma-PO
plasma_po,85,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,73,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
plasma_po:plasma_re,28,Plasma-PO
plasma_bl:plasma_po,21,Plasma-PO
tissue:plasma_re,0,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_po,4,Plasma-PO
tissue:plasma_po:plasma_re,3,Plasma-PO
tissue:plasma_bl:plasma_po,2,Plasma-PO
tissue,0,Plasma-RE
plasma_re,220,Plasma-RE
plasma_bl,0,Plasma-RE
plasma_bl:plasma_po:plasma_re,141,Plasma-RE
plasma_po,0,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,73,Plasma-RE
plasma_bl:plasma_re,39,Plasma-RE
plasma_po:plasma_re,28,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_re,11,Plasma-RE
tissue:plasma_bl:plasma_re,10,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_po,0,Plasma-RE
tissue:plasma_po:plasma_re,3,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
