names,len,tipo
tissue,689,Tissue
plasma_bl,0,Tissue
plasma_re,0,Tissue
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_bl:plasma_po,0,Tissue
plasma_bl:plasma_re,0,Tissue
plasma_po,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,34,Tissue
tissue:plasma_bl,22,Tissue
tissue:plasma_bl:plasma_re,14,Tissue
plasma_po:plasma_re,0,Tissue
tissue:plasma_re,8,Tissue
tissue:plasma_po,8,Tissue
tissue:plasma_bl:plasma_po,8,Tissue
tissue:plasma_po:plasma_re,2,Tissue
tissue,0,Plasma-BL
plasma_bl,219,Plasma-BL
plasma_re,0,Plasma-BL
plasma_bl:plasma_po:plasma_re,125,Plasma-BL
plasma_bl:plasma_po,54,Plasma-BL
plasma_bl:plasma_re,44,Plasma-BL
plasma_po,0,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,34,Plasma-BL
tissue:plasma_bl,22,Plasma-BL
tissue:plasma_bl:plasma_re,14,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_re,0,Plasma-BL
tissue:plasma_po,0,Plasma-BL
tissue:plasma_bl:plasma_po,8,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue,0,Plasma-PO
plasma_bl,0,Plasma-PO
plasma_re,0,Plasma-PO
plasma_bl:plasma_po:plasma_re,125,Plasma-PO
plasma_bl:plasma_po,54,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
plasma_po,37,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,34,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
plasma_po:plasma_re,14,Plasma-PO
tissue:plasma_re,0,Plasma-PO
tissue:plasma_po,8,Plasma-PO
tissue:plasma_bl:plasma_po,8,Plasma-PO
tissue:plasma_po:plasma_re,2,Plasma-PO
tissue,0,Plasma-RE
plasma_bl,0,Plasma-RE
plasma_re,134,Plasma-RE
plasma_bl:plasma_po:plasma_re,125,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
plasma_bl:plasma_re,44,Plasma-RE
plasma_po,0,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,34,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_re,14,Plasma-RE
plasma_po:plasma_re,14,Plasma-RE
tissue:plasma_re,8,Plasma-RE
tissue:plasma_po,0,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_po:plasma_re,2,Plasma-RE
