names,len,tipo
plasma_re,0,Tissue
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_bl,0,Tissue
plasma_bl:plasma_po,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,242,Tissue
tissue,236,Tissue
plasma_bl:plasma_re,0,Tissue
plasma_po,0,Tissue
plasma_po:plasma_re,0,Tissue
tissue:plasma_re,94,Tissue
tissue:plasma_bl,21,Tissue
tissue:plasma_bl:plasma_re,18,Tissue
tissue:plasma_bl:plasma_po,13,Tissue
tissue:plasma_po:plasma_re,12,Tissue
tissue:plasma_po,10,Tissue
plasma_re,0,Plasma-BL
plasma_bl:plasma_po:plasma_re,627,Plasma-BL
plasma_bl,427,Plasma-BL
plasma_bl:plasma_po,256,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,242,Plasma-BL
tissue,0,Plasma-BL
plasma_bl:plasma_re,152,Plasma-BL
plasma_po,0,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_re,0,Plasma-BL
tissue:plasma_bl,21,Plasma-BL
tissue:plasma_bl:plasma_re,18,Plasma-BL
tissue:plasma_bl:plasma_po,13,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_po,0,Plasma-BL
plasma_re,0,Plasma-PO
plasma_bl:plasma_po:plasma_re,627,Plasma-PO
plasma_bl,0,Plasma-PO
plasma_bl:plasma_po,256,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,242,Plasma-PO
tissue,0,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
plasma_po,139,Plasma-PO
plasma_po:plasma_re,122,Plasma-PO
tissue:plasma_re,0,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_bl:plasma_po,13,Plasma-PO
tissue:plasma_po:plasma_re,12,Plasma-PO
tissue:plasma_po,10,Plasma-PO
plasma_re,776,Plasma-RE
plasma_bl:plasma_po:plasma_re,627,Plasma-RE
plasma_bl,0,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,242,Plasma-RE
tissue,0,Plasma-RE
plasma_bl:plasma_re,152,Plasma-RE
plasma_po,0,Plasma-RE
plasma_po:plasma_re,122,Plasma-RE
tissue:plasma_re,94,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_re,18,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_po:plasma_re,12,Plasma-RE
tissue:plasma_po,0,Plasma-RE
