names,len,tipo
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_bl,0,Tissue
plasma_re,0,Tissue
plasma_bl:plasma_po,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,317,Tissue
plasma_bl:plasma_re,0,Tissue
tissue:plasma_re,124,Tissue
plasma_po,0,Tissue
tissue,105,Tissue
plasma_po:plasma_re,0,Tissue
tissue:plasma_po:plasma_re,44,Tissue
tissue:plasma_bl:plasma_re,33,Tissue
tissue:plasma_bl,14,Tissue
tissue:plasma_bl:plasma_po,14,Tissue
tissue:plasma_po,6,Tissue
plasma_bl:plasma_po:plasma_re,546,Plasma-BL
plasma_bl,467,Plasma-BL
plasma_re,0,Plasma-BL
plasma_bl:plasma_po,320,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,317,Plasma-BL
plasma_bl:plasma_re,202,Plasma-BL
tissue:plasma_re,0,Plasma-BL
plasma_po,0,Plasma-BL
tissue,0,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_bl:plasma_re,33,Plasma-BL
tissue:plasma_bl,14,Plasma-BL
tissue:plasma_bl:plasma_po,14,Plasma-BL
tissue:plasma_po,0,Plasma-BL
plasma_bl:plasma_po:plasma_re,546,Plasma-PO
plasma_bl,0,Plasma-PO
plasma_re,0,Plasma-PO
plasma_bl:plasma_po,320,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,317,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_re,0,Plasma-PO
plasma_po,106,Plasma-PO
tissue,0,Plasma-PO
plasma_po:plasma_re,84,Plasma-PO
tissue:plasma_po:plasma_re,44,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_po,14,Plasma-PO
tissue:plasma_po,6,Plasma-PO
plasma_bl:plasma_po:plasma_re,546,Plasma-RE
plasma_bl,0,Plasma-RE
plasma_re,350,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,317,Plasma-RE
plasma_bl:plasma_re,202,Plasma-RE
tissue:plasma_re,124,Plasma-RE
plasma_po,0,Plasma-RE
tissue,0,Plasma-RE
plasma_po:plasma_re,84,Plasma-RE
tissue:plasma_po:plasma_re,44,Plasma-RE
tissue:plasma_bl:plasma_re,33,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_po,0,Plasma-RE
