names,len,tipo
tissue,333,Tissue
plasma_re,0,Tissue
plasma_po,0,Tissue
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_bl,0,Tissue
plasma_po:plasma_re,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,33,Tissue
plasma_bl:plasma_po,0,Tissue
plasma_bl:plasma_re,0,Tissue
tissue:plasma_re,11,Tissue
tissue:plasma_po:plasma_re,9,Tissue
tissue:plasma_po,8,Tissue
tissue:plasma_bl:plasma_re,8,Tissue
tissue:plasma_bl,6,Tissue
tissue:plasma_bl:plasma_po,3,Tissue
tissue,0,Plasma-BL
plasma_re,0,Plasma-BL
plasma_po,0,Plasma-BL
plasma_bl:plasma_po:plasma_re,98,Plasma-BL
plasma_bl,80,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,33,Plasma-BL
plasma_bl:plasma_po,30,Plasma-BL
plasma_bl:plasma_re,28,Plasma-BL
tissue:plasma_re,0,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_po,0,Plasma-BL
tissue:plasma_bl:plasma_re,8,Plasma-BL
tissue:plasma_bl,6,Plasma-BL
tissue:plasma_bl:plasma_po,3,Plasma-BL
tissue,0,Plasma-PO
plasma_re,0,Plasma-PO
plasma_po,105,Plasma-PO
plasma_bl:plasma_po:plasma_re,98,Plasma-PO
plasma_bl,0,Plasma-PO
plasma_po:plasma_re,55,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,33,Plasma-PO
plasma_bl:plasma_po,30,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_re,0,Plasma-PO
tissue:plasma_po:plasma_re,9,Plasma-PO
tissue:plasma_po,8,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_po,3,Plasma-PO
tissue,0,Plasma-RE
plasma_re,174,Plasma-RE
plasma_po,0,Plasma-RE
plasma_bl:plasma_po:plasma_re,98,Plasma-RE
plasma_bl,0,Plasma-RE
plasma_po:plasma_re,55,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,33,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
plasma_bl:plasma_re,28,Plasma-RE
tissue:plasma_re,11,Plasma-RE
tissue:plasma_po:plasma_re,9,Plasma-RE
tissue:plasma_po,0,Plasma-RE
tissue:plasma_bl:plasma_re,8,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
