names,len,tipo
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_re,0,Tissue
tissue,412,Tissue
plasma_bl,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,219,Tissue
plasma_bl:plasma_re,0,Tissue
tissue:plasma_bl:plasma_re,155,Tissue
plasma_po:plasma_re,0,Tissue
plasma_po,0,Tissue
plasma_bl:plasma_po,0,Tissue
tissue:plasma_re,71,Tissue
tissue:plasma_bl,33,Tissue
tissue:plasma_bl:plasma_po,10,Tissue
tissue:plasma_po:plasma_re,4,Tissue
tissue:plasma_po,3,Tissue
plasma_bl:plasma_po:plasma_re,668,Plasma-BL
plasma_re,0,Plasma-BL
tissue,0,Plasma-BL
plasma_bl,329,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,219,Plasma-BL
plasma_bl:plasma_re,207,Plasma-BL
tissue:plasma_bl:plasma_re,155,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
plasma_po,0,Plasma-BL
plasma_bl:plasma_po,105,Plasma-BL
tissue:plasma_re,0,Plasma-BL
tissue:plasma_bl,33,Plasma-BL
tissue:plasma_bl:plasma_po,10,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_po,0,Plasma-BL
plasma_bl:plasma_po:plasma_re,668,Plasma-PO
plasma_re,0,Plasma-PO
tissue,0,Plasma-PO
plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,219,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
plasma_po:plasma_re,110,Plasma-PO
plasma_po,108,Plasma-PO
plasma_bl:plasma_po,105,Plasma-PO
tissue:plasma_re,0,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_po,10,Plasma-PO
tissue:plasma_po:plasma_re,4,Plasma-PO
tissue:plasma_po,3,Plasma-PO
plasma_bl:plasma_po:plasma_re,668,Plasma-RE
plasma_re,636,Plasma-RE
tissue,0,Plasma-RE
plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,219,Plasma-RE
plasma_bl:plasma_re,207,Plasma-RE
tissue:plasma_bl:plasma_re,155,Plasma-RE
plasma_po:plasma_re,110,Plasma-RE
plasma_po,0,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_re,71,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_po:plasma_re,4,Plasma-RE
tissue:plasma_po,0,Plasma-RE
