names,len,tipo
plasma_re,0,Tissue
plasma_bl:plasma_po:plasma_re,0,Tissue
tissue,440,Tissue
plasma_bl,0,Tissue
plasma_bl:plasma_re,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,218,Tissue
plasma_po,0,Tissue
plasma_po:plasma_re,0,Tissue
plasma_bl:plasma_po,0,Tissue
tissue:plasma_re,74,Tissue
tissue:plasma_bl,34,Tissue
tissue:plasma_po:plasma_re,28,Tissue
tissue:plasma_bl:plasma_re,26,Tissue
tissue:plasma_bl:plasma_po,8,Tissue
tissue:plasma_po,6,Tissue
plasma_re,0,Plasma-BL
plasma_bl:plasma_po:plasma_re,539,Plasma-BL
tissue,0,Plasma-BL
plasma_bl,371,Plasma-BL
plasma_bl:plasma_re,255,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,218,Plasma-BL
plasma_po,0,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
plasma_bl:plasma_po,88,Plasma-BL
tissue:plasma_re,0,Plasma-BL
tissue:plasma_bl,34,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_bl:plasma_re,26,Plasma-BL
tissue:plasma_bl:plasma_po,8,Plasma-BL
tissue:plasma_po,0,Plasma-BL
plasma_re,0,Plasma-PO
plasma_bl:plasma_po:plasma_re,539,Plasma-PO
tissue,0,Plasma-PO
plasma_bl,0,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,218,Plasma-PO
plasma_po,155,Plasma-PO
plasma_po:plasma_re,151,Plasma-PO
plasma_bl:plasma_po,88,Plasma-PO
tissue:plasma_re,0,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_po:plasma_re,28,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_bl:plasma_po,8,Plasma-PO
tissue:plasma_po,6,Plasma-PO
plasma_re,744,Plasma-RE
plasma_bl:plasma_po:plasma_re,539,Plasma-RE
tissue,0,Plasma-RE
plasma_bl,0,Plasma-RE
plasma_bl:plasma_re,255,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,218,Plasma-RE
plasma_po,0,Plasma-RE
plasma_po:plasma_re,151,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_re,74,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_po:plasma_re,28,Plasma-RE
tissue:plasma_bl:plasma_re,26,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_po,0,Plasma-RE
