ID	Primary	Metastasis
104	0.12280334740563	-0.05525026690688
107	0.056688107731556	-0.153061562660638
13	-0.077889551223016	-0.10195127027265
136	0.166249935921294	0.125931327442557
150	0.260331222171169	0.26456987965545
185	0.16840082884489	-0.089731815945432
189	-0.060149514552502	-0.057985681770164
204	-0.196712545590445	-0.103679060949565
242	-0.149349119952155	-0.100947160540489
243	0.34706785611567	0.202446332631693
259	0.05456582	0.051754379578866
261	0.283602437093266	-0.034249029414159
49	0.177870256415581	0.096182448585178
63	0.234389384821389	-0.057023775933888
